ACTO,CONVOCATORIA,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,HOJA,CNT_VOTOS
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,743,CMF,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,744,CMF,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,745,CMF,Departamental,969,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,745,CMF,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,746,CMF,Departamental,1326,4
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,747,CMF,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,749,CMF,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,750,CMF,Departamental,1326,2
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,755,CMF,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,758,CMF,Departamental,969,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,758,CMF,Departamental,1326,2
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,759,CMF,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,760,CMF,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,761,CMF,Departamental,1326,3
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,762,CMF,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,766,CMF,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,773,CMF,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,776,CMF,Departamental,1326,2
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,778,CMF,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,783,CMF,Departamental,1326,2
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,789,CMF,Departamental,1326,4
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,790,CMF,Departamental,969,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,790,CMF,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,791,CMF,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,796,CMG,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,797,CMG,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,800,CMG,Departamental,1326,2
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,801,CMG,Departamental,1326,2
